ID_t,Nb_of_incident,Electrical_length,Service_date,Length_climate_hazard_plan,Length_fragile_section,Nb_of_anomaly,Year_helicopter_flight,y_pred
34860,1.0,420.0,59,4.010000000000001,20.424,4.0,3,1
63861,2.0,660.0,38,0.0,3.402777771,0.0,5,1
3378,1.0,112.0,40,1.31340118408,1.981,17.0,3,0
34238,0.0,361.0,42,0.339,13.85419300843,0.0,5,1
7100,0.0,32.0,28,0.458,2.19999999773,0.0,2,0
9003,0.0,280.0,44,0.915,0.578,7.0,3,0
47329,0.0,108.0,44,0.24,0.563,0.0,1,0
27228,1.0,40.0,40,1.166,9.240531005860001,0.0,5,1
45669,0.0,554.0,32,0.429,2.498,5.0,3,0
43473,0.0,375.0,31,1.076,1.725,17.0,3,0
11755,3.0,29.0,34,2.404,4.959295936579999,0.0,2,1
39416,2.0,268.2576904296875,48,1.34,24.61417190099,0.0,5,1
20470,2.0,164.0,48,0.129,1.58,0.0,1,1
16600,0.0,288.0,33,0.602,1.107,7.0,3,0
62013,0.0,439.0,38,2.385,0.26511373901,0.0,5,0
11223,0.0,291.0,40,0.53,1.21690499878,4.0,3,0
47118,0.0,1165.0,37,1.238,0.71,0.0,5,0
82699,0.0,85.0,37,0.694,2.20699999416,0.0,3,0
81624,0.0,110.0,52,2.551,3.091,0.0,1,1
8098,0.0,117.0,42,2.435,0.78,0.0,2,0
80714,1.0,55.0,33,5.126601661392405,5.852000000719999,0.0,2,1
23722,0.0,107.0,32,21.11382456207,5.364999969480001,7.0,3,0
42211,2.0,442.0,38,1.052,0.838,16.0,3,0
12998,0.0,510.0,46,0.0,0.0,4.0,3,0
46745,0.0,617.0,41,5.285,2.661,0.0,5,0
17254,1.0,227.0,39,0.5840000000000001,2.02319139742,2.0,3,0
48935,0.0,166.0,62,8.4643655777,0.294,3.0,3,1
90171,0.0,1.476809620857239,44,0.017,3.30641824448,14.0,3,0
76769,2.0,26.0,30,8.365,3.78896025848,0.0,1,1
21816,1.0,759.0,49,0.073,0.683,0.0,2,1
81664,0.0,490.0,35,2.551,3.091,0.0,1,0
85668,0.0,364.2093505859375,38,3.145,4.129,0.0,1,0
21887,0.0,736.0,36,0.0,2.37649208832,0.0,1,0
73992,1.0,769.0,50,4.329,4.528,7.0,3,0
68533,0.0,96.0,40,3.00427206945,9.7012720865,12.0,3,0
544,1.0,190.0,45,1.31340118408,1.981,17.0,3,0
65985,5.0,29.0,33,5.851,3.6619999907,2.0,3,1
23438,0.0,321.0,45,9.480000000000002,0.677,4.0,3,0
43315,1.0,157.0,36,2.168999999999999,1.80100000382,0.0,1,0
9097,2.0,364.0,43,0.033,0.33,0.0,1,1
16400,0.0,443.0,40,0.222,0.596,0.0,1,0
73410,2.0,33.0,36,6.91709901647,2.997,0.0,2,1
54255,1.0,122.0,41,0.6219999999999999,0.449,0.0,1,1
30009,1.0,43.0,34,1.772,4.25655876923,0.0,1,0
46669,0.0,250.0,35,8.4643655777,0.294,3.0,3,0
71100,1.0,321.0,41,3.4,0.728,2.0,3,1
4596,1.0,125.0,65,0.68,0.432,2.0,3,1
50202,0.0,64.0,34,0.866,0.345,0.0,1,0
18854,1.0,451.0,31,0.8480000000000001,1.811,0.0,2,0
43794,1.0,407.3063659667969,35,1.659,0.902,0.0,5,1
66594,2.0,432.0,36,2.15,8.868,6.0,3,1
53777,0.0,77.32508850097656,45,7.0053522377,0.0,0.0,5,1
68380,0.0,43.0,38,0.576,0.865,1.0,3,0
31354,3.0,47.0,35,18.502,14.22061534119,13.0,5,0
4787,0.0,222.0,20,0.9309999999999999,0.0,0.0,2,0
30736,1.0,414.0,49,18.61899997711,15.32499997711,0.0,1,1
59516,0.0,441.0,38,0.0,1.04,4.0,3,0
53453,0.0,362.1458740234375,36,6.437,0.542,0.0,1,0
29996,1.0,470.0,42,1.772,4.25655876923,0.0,1,1
15714,1.0,313.0,38,0.044,0.75963378906,0.0,2,1
57376,3.0,196.0,49,9.58,0.872,17.0,3,0
51635,0.0,249.5114898681641,41,1.133,0.13367912292,0.0,5,0
1591,2.0,276.0,60,0.198,9.82900003737,5.0,3,1
77887,0.0,108.8524932861328,37,2.5,4.97600000155,9.0,3,0
87007,1.0,11.0,48,1.967,4.417277906060001,0.0,1,1
33192,1.0,48.0,43,5.716,19.743,0.0,1,1
37919,0.0,386.0,46,3.357,12.68599996948,14.0,5,0
61339,1.0,307.0,31,2.509,2.734,0.0,4,0
14639,1.0,382.0,33,0.073,0.683,0.0,2,0
54709,1.0,419.0,47,4.498,0.897,0.0,1,1
1486,0.0,180.0,40,0.908,0.102,2.0,3,0
61483,1.0,24.0,32,0.3470000000000003,4.981,0.0,5,1
3863,0.0,888.0,42,2.587,2.3654903717,0.0,1,0
16773,0.0,63.0,48,2.207,0.657,0.0,1,0
30128,0.0,103.0,34,0.4,4.28900000763,0.0,1,0
9081,1.0,218.0,42,0.73,3.43749692097,9.0,3,0
88479,4.0,61.0,43,4.119,1.756,9.0,3,1
29385,4.0,51.0,29,4.119,1.756,9.0,3,1
74931,2.0,345.0,37,1.204,4.38027001953,0.0,1,1
69065,1.0,581.0,41,1.611,3.72231356812,0.0,2,1
83141,0.0,270.0,37,1.653,2.349,0.0,1,0
90147,1.0,1.156776309013367,29,6.514,4.56300000048,6.0,2,0
9962,0.0,258.0,50,1.478,6.914,0.0,1,1
42075,1.0,219.0,42,3.182,2.037,0.0,1,1
77761,1.0,562.0,45,2.435999999999999,5.70584044272,12.0,3,0
15120,2.0,56.0,30,0.0,1.006,0.0,1,1
65378,1.0,120.0,41,3.456,5.47194354439,0.0,3,1
57024,0.0,105.0,32,0.934,0.916,0.0,5,0
34716,3.0,352.0,36,18.502,14.22061534119,13.0,5,0
37797,2.0,24.0,26,7.822,50.46186362458999,0.0,5,1
71306,0.0,310.0,39,0.244,0.0,1.0,3,0
61745,2.0,104.0,30,0.582,1.21302511597,0.0,1,1
81111,0.0,352.0,34,4.416,1.04056793213,0.0,1,0
11163,0.0,923.0,37,0.53,1.21690499878,4.0,3,0
82589,4.0,75.0,27,11.146,6.743881523900001,0.0,1,1
44488,0.0,182.0,30,0.133,0.681,1.0,3,0
44521,0.0,57.0,47,0.857,0.875,0.0,5,1
87429,2.0,394.1139221191406,42,2.851,1.89700001859,0.0,1,1
2194,0.0,339.0,57,0.0,1.81100000143,0.0,2,1
77246,1.0,388.4431457519531,33,3.153999999999999,3.43791399359,0.0,1,0
5018,1.0,338.0,77,1.388,0.0,0.0,2,1
42329,0.0,297.0,32,0.3320000000000002,0.0,0.0,1,0
26362,2.0,13.0,45,5.094,2.13170431519,0.0,5,1
13342,0.0,162.0,41,0.0,1.415,4.0,3,0
70686,1.0,96.0,31,5.135,4.1450000019,0.0,5,1
53002,4.0,342.0,50,8.17,2.282,11.0,3,1
57260,0.0,324.0,53,1.076,1.725,17.0,3,0
8975,1.0,9.0,36,1.948,0.133,5.0,3,0
14093,1.0,490.0,42,0.68,0.432,2.0,3,1
2025,0.0,138.0,44,0.0,0.0,4.0,3,0
28623,0.0,207.0,40,5.329000000000001,2.787,0.0,1,0
67651,0.0,527.0,36,2.286,2.268,0.0,2,0
26821,0.0,162.0,44,8.756999977109999,2.116,4.0,5,0
70391,0.0,270.0,65,2.121,6.305,12.0,3,0
20451,0.0,436.0,60,0.205,8.999500018,0.0,1,1
55113,1.0,598.0,42,0.2899999999999998,1.25599997711,0.0,1,1
84573,0.0,161.0,37,1.253,2.445,3.0,3,0
47029,2.0,46.0,44,1.052,0.838,16.0,3,0
64095,0.0,546.0,24,3.319999999999999,2.473012146,0.0,2,0
88402,1.0,412.0,32,2.293,3.55778878784,0.0,1,0
89647,0.0,97.63681030273438,37,0.482,0.0,7.0,3,0
44171,0.0,22.0,17,4.637,0.734,8.0,3,0
